log10Enu,rate
9.25,1.0329360212306701e-19
9.286789297658864,1.2701293719257364e-19
9.323578595317725,1.5502040455917287e-19
9.360367892976589,1.8788163346352639e-19
9.397157190635452,2.262155880994325e-19
9.433946488294314,2.707021173586076e-19
9.470735785953178,3.220919613058385e-19
9.507525083612041,3.8121976765435195e-19
9.544314381270903,4.490207557396636e-19
9.581103678929766,5.26551777360415e-19
9.617892976588628,6.150176742551341e-19
9.654682274247492,7.158040343791937e-19
9.691471571906355,8.3051772037607825e-19
9.728260869565217,9.610369051337596e-19
9.76505016722408,1.1095728288319219e-18
9.801839464882944,1.2787461259666061e-18
9.838628762541806,1.4716814082693159e-18
9.87541806020067,1.6921248960594365e-18
9.912207357859533,1.9445913560209675e-18
9.948996655518394,2.2345485505674305e-18
9.985785953177258,2.5686500023635295e-18
10.02257525083612,2.9550303623321623e-18
10.059364548494983,3.4036823685292253e-18
10.096153846153847,3.9269407565367226e-18
10.132943143812708,4.540107178286524e-18
10.169732441471572,5.262262126115936e-18
10.206521739130435,6.117326356973799e-18
10.243311036789297,7.135457257314814e-18
10.28010033444816,8.354220002397275e-18
10.316889632107024,9.81569858728217e-18
10.353678929765886,1.156832199292309e-17
10.39046822742475,1.3669594304702835e-17
10.427257525083611,1.6187479824114055e-17
10.464046822742475,1.9201867421617347e-17
10.500836120401338,2.280607562349616e-17
10.5376254180602,2.7108330668946366e-17
10.574414715719064,3.223312146690158e-17
10.611204013377927,3.8322301676176075e-17
10.647993311036789,4.5535770634721916e-17
10.684782608695652,5.4051523043994913e-17
10.721571906354516,6.406481478763011e-17
10.758361204013378,7.578626404219308e-17
10.795150501672241,8.945841375565242e-17
10.831939799331103,1.0539353104679865e-16
10.868729096989966,1.2396414135180828e-16
10.90551839464883,1.4561122300011695e-16
10.942307692307693,1.708588843056181e-16
10.979096989966555,2.003325496336932e-16
11.015886287625419,2.347815677062982e-16
11.05267558528428,2.7510741606277813e-16
11.089464882943144,3.2239901716747605e-16
11.126254180602007,3.779771311420427e-16
11.16304347826087,4.434503841568733e-16
11.199832775919733,5.207862801536916e-16
11.236622073578596,6.1240159535479035e-16
11.273411371237458,7.212636643716217e-16
11.310200668896321,8.508235016012097e-16
11.346989966555185,1.0050808738966457e-15
11.383779264214047,1.1887908817624724e-15
11.42056856187291,1.4076013197057484e-15
11.457357859531772,1.6682088725261856e-15
11.494147157190636,1.978538781508399e-15
11.530936454849499,2.3479503289896208e-15
11.56772575250836,2.7874703599771485e-15
11.604515050167224,3.310056783486599e-15
11.641304347826088,3.93089353132895e-15
11.67809364548495,4.667717749253946e-15
11.714882943143813,5.541179000189224e-15
11.751672240802677,6.575228932402442e-15
11.788461538461538,7.797815103259988e-15
11.825250836120402,9.242393731583735e-15
11.862040133779264,1.0948467833785059e-14
11.898829431438127,1.2962460529511721e-14
11.93561872909699,1.5338914871807557e-14
11.972408026755854,1.8141900812666567e-14
12.009197324414716,2.1446665130466638e-14
12.04598662207358,2.5341566390634048e-14
12.082775919732441,2.993034435836716e-14
12.119565217391305,3.533478193038907e-14
12.156354515050168,4.1697827835746874e-14
12.19314381270903,4.9187260351045625e-14
12.229933110367893,5.799998641167678e-14
12.266722408026755,6.836702120114058e-14
12.303511705685619,8.055719366040135e-14
12.340301003344482,9.488175890731923e-14
12.377090301003346,1.1170251527246863e-13
12.413879598662207,1.3143956225062056e-13
12.450668896321071,1.5457999208944262e-13
12.487458193979933,1.8168772279142378e-13
12.524247491638796,2.1341458972510082e-13
12.56103678929766,2.5051281813083494e-13
12.597826086956522,2.9384900244842587e-13
12.634615384615385,3.444197201037242e-13
12.671404682274247,4.0336890660579086e-13
12.70819397993311,4.720071148813219e-13
12.744983277591974,5.518327739807831e-13
12.781772575250837,6.445304174043253e-13
12.818561872909699,7.518272630524915e-13
12.855351170568563,8.754974368307473e-13
12.892140468227424,1.0173659757338559e-12
12.928929765886288,1.179256900302357e-12
12.965719063545151,1.3629248025267463e-12
13.002508361204013,1.5699686512098494e-12
13.039297658862877,1.8017272555926532e-12
13.076086956521738,2.059157013279861e-12
13.112876254180602,2.3426941374121952e-12
13.149665551839465,2.6521054962740553e-12
13.186454849498329,2.986334441681129e-12
13.22324414715719,3.3433504236244965e-12
13.260033444816054,3.7200235567759285e-12
13.296822742474916,4.113087481525243e-12
13.33361204013378,4.520579683920107e-12
13.370401337792643,4.940737294826597e-12
13.407190635451506,5.3719056106126874e-12
13.443979933110368,5.8126140366501964e-12
13.48076923076923,6.26164768067133e-12
13.517558528428093,6.718113291651473e-12
13.554347826086957,7.181498902642152e-12
13.59113712374582,7.651727212526168e-12
13.627926421404682,8.129203400819157e-12
13.664715719063546,8.614858690399806e-12
13.701505016722408,9.110191545799419e-12
13.738294314381271,9.617308921490408e-12
13.775083612040135,1.0139133204796679e-11
13.811872909698998,1.0681211775809188e-11
13.84866220735786,1.1251525973428246e-11
13.885451505016722,1.1859681060430489e-11
13.922240802675585,1.2517129681562087e-11
13.959030100334449,1.3237504789955541e-11
13.995819397993312,1.4037075088765697e-11
14.032608695652176,1.4935360430028213e-11
14.069397993311037,1.5955957166482165e-11
14.106187290969899,1.712764144593838e-11
14.142976588628763,1.8485844191017837e-11
14.179765886287626,2.0074628444257334e-11
14.21655518394649,2.194935299373936e-11
14.253344481605351,2.4180279154345954e-11
14.290133779264215,2.684930032619944e-11
14.326923076923077,3.003298069122568e-11
14.36371237458194,3.381757437294221e-11
14.400501672240804,3.830449797190311e-11
14.437290969899667,4.3611914381273147e-11
14.474080267558529,4.9876197175590186e-11
14.51086956521739,5.7253108728135564e-11
14.547658862876254,6.591847041579088e-11
14.584448160535118,7.606804057869011e-11
14.621237458193981,8.791624862661741e-11
14.658026755852843,1.0169336766414703e-10
14.694816053511706,1.1764065228704277e-10
14.731605351170568,1.3600293556287052e-10
14.768394648829432,1.5702020998901036e-10
14.805183946488295,1.809665557926454e-10
14.841973244147159,2.0817300025415087e-10
14.87876254180602,2.389941169686757e-10
14.915551839464882,2.738042362861674e-10
14.952341137123746,3.129944771548504e-10
14.98913043478261,3.569687176218471e-10
15.025919732441473,4.0613838006394724e-10
15.062709030100335,4.609159199959913e-10
15.099498327759198,5.21706928000792e-10
15.13628762541806,5.889007840147726e-10
15.173076923076923,6.6285984275305e-10
15.209866220735787,7.439071790144308e-10
15.24665551839465,8.323129820795145e-10
15.283444816053512,9.282739729301209e-10
15.320234113712374,1.0318670198886396e-09
15.357023411371237,1.1430392476083727e-09
15.393812709030101,1.2615957084767802e-09
15.430602006688964,1.3871796527272501e-09
15.467391304347828,1.5192542515642577e-09
15.50418060200669,1.6570867753678457e-09
15.540969899665551,1.7997363148664005e-09
15.577759197324415,1.946046184299996e-09
15.614548494983278,2.094642144595617e-09
15.651337792642142,2.2439375200340113e-09
15.688127090301004,2.3921461443768273e-09
15.724916387959867,2.537303855728363e-09
15.761705685618729,2.677303412756171e-09
15.798494983277592,2.810243904574105e-09
15.835284280936456,2.934748733663266e-09
15.87207357859532,3.0496120838777333e-09
15.908862876254181,3.1537794743072868e-09
15.945652173913043,3.2463651795373023e-09
15.982441471571907,3.326664680724654e-09
16.01923076923077,3.394162022962808e-09
16.056020066889634,3.4485321500949526e-09
16.092809364548494,3.4896384653145628e-09
16.129598662207357,3.517526017701249e-09
16.16638795986622,3.532410836498657e-09
16.203177257525084,3.534666023796456e-09
16.239966555183948,3.524805271716878e-09
16.27675585284281,3.5035301343621475e-09
16.313545150501675,3.4722536574578006e-09
16.350334448160535,3.432769609374152e-09
16.387123745819398,3.3868712801782022e-09
16.42391304347826,3.336312665856445e-09
16.460702341137125,3.282781757443599e-09
16.497491638795985,3.227882289179584e-09
16.53428093645485,3.173123483355728e-09
16.571070234113712,3.1199171407306075e-09
16.607859531772576,3.0695813386133047e-09
16.64464882943144,3.023350002097643e-09
16.681438127090303,2.9823876945583205e-09
16.718227424749166,2.9478091194499545e-09
16.755016722408026,2.920702702688263e-09
16.79180602006689,2.9019737499723242e-09
16.828595317725753,2.8920709683714728e-09
16.865384615384617,2.8914300553420997e-09
16.902173913043477,2.9005720315844063e-09
16.93896321070234,2.9201205306291082e-09
16.975752508361204,2.9508219068962376e-09
17.012541806020067,2.9935689029469328e-09
17.04933110367893,3.0494287944906917e-09
17.086120401337794,3.1196771586722753e-09
17.122909698996658,3.205838702290873e-09
17.159698996655518,3.309736961773314e-09
17.19648829431438,3.433555172316385e-09
17.233277591973245,3.579911234854608e-09
17.27006688963211,3.751861859667811e-09
17.30685618729097,3.951336735855128e-09
17.343645484949832,4.17896998918974e-09
17.380434782608695,4.435288931321314e-09
17.41722408026756,4.720646518277165e-09
17.454013377926422,5.035091810995974e-09
17.490802675585286,5.378226645692437e-09
17.52759197324415,5.7490494783327235e-09
17.564381270903013,6.1457894770362246e-09
17.601170568561873,6.56573644844658e-09
17.637959866220736,7.005075046544918e-09
17.6747491638796,7.458734786954434e-09
17.71153846153846,7.920270435487487e-09
17.748327759197323,8.381790002468444e-09
17.785117056856187,8.835306349639121e-09
17.82190635451505,9.278259779252595e-09
17.858695652173914,9.710266240429416e-09
17.895484949832777,1.0131530691351412e-08
17.93227424749164,1.0542847645272688e-08
17.969063545150505,1.0945594605243585e-08
18.005852842809364,1.1341721332736519e-08
18.042642140468228,1.1733738180951811e-08
18.07943143812709,1.2124706784093956e-08
18.11622073578595,1.2518236407345366e-08
18.153010033444815,1.2918489270854479e-08
18.18979933110368,1.333019820900497e-08
18.226588628762542,1.3758700159343745e-08
18.263377926421406,1.4209893808746908e-08
18.30016722408027,1.4685591654373729e-08
18.336956521739133,1.5180656675335787e-08
18.373745819397996,1.568858723045114e-08
18.41053511705686,1.6201937656535557e-08
18.44732441471572,1.671227570442745e-08
18.484113712374583,1.7210180095486306e-08
18.520903010033443,1.7685286522759057e-08
18.557692307692307,1.8126390045146973e-08
18.59448160535117,1.852161064643687e-08
18.631270903010034,1.8858626624135377e-08
18.668060200668897,1.9124977355327234e-08
18.70484949832776,1.930843285577368e-08
18.741638795986624,1.939742250754592e-08
18.778428093645488,1.93824325183828e-08
18.81521739130435,1.9262963867236708e-08
18.85200668896321,1.904375461889811e-08
18.888795986622075,1.873101323088344e-08
18.925585284280935,1.8332165972117517e-08
18.962374581939798,1.785561017836908e-08
18.99916387959866,1.7310459892975632e-08
19.035953177257525,1.6706293249357902e-08
19.07274247491639,1.605290990214012e-08
19.109531772575252,1.536010550535424e-08
19.146321070234116,1.4637468770109042e-08
19.18311036789298,1.3894205106253726e-08
19.219899665551843,1.3138989348614739e-08
19.256688963210703,1.2379846134108913e-08
19.293478260869566,1.162342415563776e-08
19.33026755852843,1.0874334524904014e-08
19.36705685618729,1.0136713971364647e-08
19.403846153846153,9.414423530483222e-09
19.440635451505017,8.711008664963525e-09
19.47742474916388,8.029665787834027e-09
19.514214046822744,7.373215708816787e-09
19.551003344481607,6.744084346968315e-09
19.58779264214047,6.144290867163899e-09
19.624581939799334,5.575443211716667e-09
19.661371237458194,5.038740817373928e-09
19.698160535117058,4.534984137953431e-09
19.73494983277592,4.064590439306161e-09
19.77173913043478,3.6276152007396637e-09
19.808528428093645,3.2237783492308954e-09
19.84531772575251,2.852494472387885e-09
19.882107023411372,2.5129061047471835e-09
19.918896321070235,2.2039191600335942e-09
19.9556856187291,1.9242395887315673e-09
19.992474916387962,1.6724103739411347e-09
20.029264214046826,1.4468480362902043e-09
20.066053511705686,1.2458778971501936e-09
20.10284280936455,1.067767444462599e-09
20.139632107023413,9.107572526652643e-10
20.176421404682273,7.730890228789861e-10
20.213210702341136,6.530304271008011e-10
20.25,5.488965563143609e-10
