99999999.99999918, 7475261222.040584
108263673.38740474, 8923792237.585756
114581182.64582066, 9874281281.804146
118547288.68778075, 10926008611.173824
124049797.34309798, 12243683313.417997
132786128.65947342, 14071864622.022038
142137724.86546665, 16173023172.161358
153883522.20863804, 18587918911.465675
164720923.50182346, 20567751342.542946
176321559.64370298, 23048218509.51948
190892197.44423822, 26489692876.105404
206666905.16307068, 29684345142.566795
226297524.38667136, 33687790490.147175
244998012.68577048, 38231169414.63776
268269579.52797052, 42841841670.86886
290438501.37792844, 46220555937.29557
318026312.9045214, 51794746792.31223
352207037.61154103, 58041184076.60844
381312276.84721565, 63415847702.374626
417531893.65603745, 69288209808.10301
467682090.1105827, 76668220745.46254
517947467.9231181, 84834289824.40761
573615251.0448658, 91524731087.7393
635266077.3700385, 98742812818.04185
695607942.269412, 106530147287.42519
770370257.8827883, 114931628512.48016
872743653.8083792, 125574396282.35841
966544101.6335166, 133774589314.89085
1082636733.8740475, 146162231481.07333
1226506772.8149066, 155706840475.3741
1358328853.7301602, 165874726495.01157
1538835222.0863867, 178956407463.67563
1723666344.8613596, 190642524451.33762
1952721887.1288755, 203091762090.47473
2212216291.0704412, 216353953283.60986
2506194533.248693, 227584592607.48096
2839239121.34578, 239398199137.21375
3216541525.900932, 251825033907.22577
3602883723.656554, 264896928761.0551
4128226779.919495, 278647367889.92474
4624072455.824765, 289426612471.67755
5121056954.353675, 300622843277.3919
5801586849.921498, 316227766016.8405
6498421570.07671, 328460777436.4329
7361987469.042217, 349909749984.4524
8531678524.172779, 363445721291.7872
9448643388.684137, 372759372031.4968
10704260023.27214, 382311694146.3791
12404979734.309898, 402156973981.0756
13738237958.83261, 412462638290.1382
15563892648.234625, 428418416708.6903
17833292262.073315, 433873012609.1905
19975267818.822178, 433873012609.1905
22629752438.66732, 439397056076.0822
25929437974.04667, 444991431311.3423
30391953823.131947, 450657033774.55054
34430696868.89625, 450657033774.55054
39451099665.57919, 450657033774.55054
44693699577.03473, 456394770326.22095
51210569543.53696, 468090331014.46063
57361525104.487045, 474050027192.3944
65725513848.401115, 486198021040.6291
75309071067.54124, 492388263170.6792
86290024268.77138, 505006192184.1349
94486433886.84177, 505006192184.1349
100000000000.00041, 511435898747.11816
