389586614.46875125,3.273209287191643e-07
420882699.0208838,2.803434964638994e-07
447720223.0082075,2.457550833025883e-07
476269037.80279356,2.0328458609898704e-07
506638263.6136598,1.7478860354411743e-07
530679382.0656078,1.423651346909044e-07
555861305.3440523,1.2053159308412876e-07
582238167.18886,1.0009094480754525e-07
609866670.1068839,8.474069902818629e-08
638806207.2657129,7.036973802762879e-08
658858186.1506761,5.866401435266203e-08
690122480.2908436,5.063751594960558e-08
722870335.0949491,4.205002758542738e-08
757172148.8337338,3.491886967154817e-08
780939607.2084409,2.9110255757753867e-08
830736107.4919267,2.5029644649163485e-08
856812721.489936,2.0466197771728872e-08
911447259.8521065,1.7260066633187808e-08
954697470.3287419,1.4613011342651946e-08
1015573615.4404078,1.2810077155749351e-08
1063764854.3163055,1.0845485521896761e-08
1131595665.2785904,9.507383732848446e-09
1203751698.0200527,8.174659761037958e-09
1280508749.677317,7.166080953844716e-09
1383373962.7296026,6.379771784523938e-09
1471584601.9280376,5.701912244736881e-09
1614558150.261825,5.2560408667769606e-09
1827027004.1765153,4.624942215408285e-09
2132352798.1697464,4.279372276406156e-09
2412961183.2535777,4.229098637671127e-09
2730496415.455292,4.099323563768333e-09
3137937543.664789,4.114256407008163e-09
3719373553.072617,4.097194729476765e-09
4477202230.082111,4.143747331120929e-09
5145284530.985833,4.079144215971911e-09
5913057204.993969,4.094003550733384e-09
6795395920.083736,4.108917014453809e-09
7809396072.084473,4.044856921544897e-09
8974704009.584312,4.1389071182042584e-09
10155736154.404078,4.170199074357646e-09
11852924098.446972,4.08922144234608e-09
13621602035.512678,4.184303193887846e-09
15414145817.536423,4.215938364317225e-09
17990099155.77826,4.214843525188466e-09
20996536004.38433,4.213748970379024e-09
23759589128.427555,4.2456067638150445e-09
27730201165.910496,4.244504220084878e-09
32364366763.473366,4.162083718167075e-09
39565388658.32244,4.112653861124831e-09
46177405710.69069,3.955511390288145e-09
55586130534.405685,3.92379165089339e-09
66911899017.15623,3.817735854822485e-09
84367367216.2481,3.743116292763462e-09
106376485431.63055,3.814762337986659e-09
126087240768.0677,3.873165893988582e-09
149450249460.6527,4.009295558315977e-09
174425805910.96616,4.24781271053328e-09
216556124063.17545,4.605762741677363e-09
281620606549.5399,5.1306056043129766e-09
344280758951.8628,5.693772973547896e-09
434094109457.7661,6.392211255700508e-09
555861305344.0614,7.28808621936049e-09
711785265100.1312,8.150279881207805e-09
954697470328.7498,9.364021678789669e-09
