5328216.465167819,7.868611835225898e-9
5069406.7150151245,2.4960718331161657e-9
6038397.884525469,8.094826251222144e-9
6843247.193451326,8.330774190716303e-9
7755362.351803371,8.570275294317972e-9
8789037.643886631,8.813243318426139e-9
9960195.06732068,8.993077004176196e-9
11284702.978554811,8.611120913898513e-9
12784651.845516808,8.127920665725835e-9
14483993.270667156,7.674810238022209e-9
16409163.862382352,7.2413408947112235e-9
18590276.984614484,6.83765498229993e-9
21061273.780238893,6.453970138317097e-9
23860712.436575774,6.091815198940918e-9
27032288.602045733,5.752212352923587e-9
30625566.489951912,5.4378643049000155e-9
34702118.82355639,5.366815215909877e-9
39324176.0775363,5.400401000670208e-9
44561986.4906825,5.438413425228236e-9
50497672.325845696,5.483068796291503e-9
57223492.95507227,5.515242844960163e-9
64845320.17366853,5.551910140972781e-9
73482329.21969613,5.588821214210569e-9
83269736.24450459,5.625977685391245e-9
94360905.47183761,5.665577902542626e-9
106933908.61993353,5.769984655591955e-9
121186974.4329792,5.938168128361922e-9
137340212.71771482,6.11599560668728e-9
155646090.76805955,6.294264604262777e-9
176391932.7922687,6.47772978534471e-9
199903543.13843137,6.671715258322329e-9
228751551.36640123,6.7515122687200194e-9
256706947.07090753,6.7962097528253925e-9
288672010.0208344,7.182971361171226e-9
329754039.91153187,7.519169766676743e-9
373729995.2694105,7.8684621408511e-9
423568098.81084627,8.2212175658099e-9
482324598.6801933,8.560021124318905e-9
540116348.4509659,8.709598651290245e-9
623173646.7213356,9.28192506281687e-9
698777055.9923446,9.527849734431571e-9
789831820.8265499,9.990803260978716e-9
904759248.7556843,1.070227778560103e-8
1017309107.3396857,1.0990513332758044e-8
1153020342.6039739,1.1615360750990441e-8
1313188348.512703,1.2651745079396883e-8
1481324954.9427075,1.333722401893067e-8
1679014871.736211,1.4270011549931234e-8
1903022758.8189921,1.5131104660196453e-8
2167148627.4826326,1.6031504318255502e-8
2436090535.7117267,1.69011923143568e-8
2763067288.6710052,1.7543271571569072e-8
3166072107.954508,1.9051870117509396e-8
3571372558.5824404,2.018632215612612e-8
4047993904.735589,2.1604570350374635e-8
4588223262.621667,2.312246165568277e-8
5209074621.528822,2.480205602083541e-8
5904257248.824056,2.6544595889819126e-8
6675351055.195161,2.851166419232537e-8
7566217172.852437,3.051483326606938e-8
8540166712.511024,3.2656066008600295e-8
9748009224.696947,3.511064804699457e-8
11004730805.484386,3.731300966042383e-8
12473780519.235735,4.027671058411987e-8
14156802896.152737,4.34756570751281e-8
16046630790.158302,4.692884528493678e-8
18188736652.23052,5.065631362331834e-8
20642848358.48892,5.467965203309956e-8
23398515081.107563,5.902275211300971e-8
26555555114.59257,6.371058840905545e-8
30100604970.55674,6.881991044802138e-8
33774678122.167732,7.483607141698666e-8
37618501006.855804,8.287856181391985e-8
41684776520.09942,9.105007181990082e-8
46190792213.99142,1.001458602328665e-7
51183667588.873116,1.1001985998672074e-7
56716437927.09623,1.209820313311667e-7
62847112220.57406,1.3294190053403104e-7
69640783526.26003,1.4625728803469825e-7
77168425649.06343,1.6067769865073374e-7
85510054856.02063,1.7668732149567418e-7
94753129955.58026,1.941540248700651e-7
100604347025.15842,2.0768563384113907e-7
