57125109.83678012, 1.295304803475978e-7
60288443.309979595, 1.2095121562582296e-7
64780371.317008294, 1.1102154289526941e-7
70868809.38204679, 1.0190630511218752e-7
76149051.70064867, 9.1951762858069e-8
80365846.11706771, 8.58614703410007e-8
86353686.82354784, 7.88125432488761e-8
92787665.26214306, 7.23423084730229e-8
99701021.94237486, 6.527567441478288e-8
107129474.03375895, 5.991676933184315e-8
115111399.89501002, 5.406390270707948e-8
125930242.30965136, 4.878240114713209e-8
137765902.79183018, 4.4016849367555877e-8
148030465.66970065, 4.040321963602808e-8
159059813.2217075, 3.7086256295307596e-8
170910927.47472838, 3.40416040699586e-8
186974135.7492839, 3.124667519828984e-8
215873960.87774873, 2.9680005056472524e-8
249240713.41897494, 2.8191885842639958e-8
287764828.01822937, 2.67783791091747e-8
326327817.3864193, 2.5435932707542438e-8
370058582.6751499, 2.4160785462961813e-8
450916605.3915845, 2.179954778843931e-8
530050556.95983094, 2.07063913595638e-8
611978297.0934964, 2.0007949943039407e-8
706569271.9229414, 2.035236186765855e-8
801255698.713529, 2.1060480725806424e-8
976330550.4299821, 2.216903885467698e-8
1168477316.9808495, 2.2939854370577257e-8
1398439534.3333883, 2.4147516141496457e-8
1734889352.058305, 2.58574588294753e-8
2440710417.8185306, 2.9650274340820146e-8
2817961014.439876, 3.175082317286636e-8
3312501219.3725185, 3.458725174762997e-8
4036284726.589179, 3.767651047211991e-8
4577181979.635615, 4.034597079368454e-8
5098145472.810716, 4.247123352674437e-8
5577298993.03165, 4.548108537921988e-8
6324705558.499332, 4.8703516312449915e-8
7172271103.215182, 5.215426328151883e-8
7988601199.889012, 5.681467844565115e-8
9223366515.27687, 6.189062135240326e-8
10842028215.442566, 6.858417597262492e-8
12744758178.020214, 7.600164760118908e-8
15252990736.451244, 8.567554620525924e-8
19614975785.472885, 1.0166978604851671e-7
23900859783.02457, 1.1658980520265019e-7
29123212009.819546, 1.3600887872891e-7
36784910262.52128, 1.6140073649877172e-7
43240505980.99933, 1.8508900783738884e-7
52688582525.00712, 2.1964702609141836e-7
60832440578.62149, 2.434039567662092e-7
70235061362.58502, 2.7438979591403416e-7
84057674957.31377, 3.2009424378527714e-7
95322134370.29079, 3.5471813694578545e-7
